itemid,type,snmp_community,snmp_oid,hostid,name,key_,delay,history,trends,status,value_type,trapper_hosts,units,multiplier,delta,snmpv3_securityname,snmpv3_securitylevel,snmpv3_authpassphrase,snmpv3_privpassphrase,formula,error,lastlogsize,logtimefmt,templateid,valuemapid,delay_flex,params,ipmi_sensor,data_type,authtype,username,password,publickey,privatekey,mtime,flags,filter,interfaceid,port,description,inventory_link,lifetime,snmpv3_authprotocol,snmpv3_privprotocol,state,snmpv3_contextname
10058,0,,,10001,"System information",system.uname,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The information as normally returned by 'uname -a'.",5,0,0,0,0,
10059,0,,,10001,"Version of agent running",agent.version,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22231,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
17318,0,,,10001,"Host boot time",system.boottime,600,7,365,0,3,,unixtime,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
17350,0,,,10001,"Free swap space in %","system.swap.size[,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
17352,0,,,10001,"Host local time",system.localtime,60,7,365,0,3,,unixtime,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
17354,0,,,10001,"CPU $2 time","system.cpu.util[,idle]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The time the CPU has spent doing nothing.",0,0,0,0,0,
17356,0,,,10001,"CPU $2 time","system.cpu.util[,user]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The time the CPU has spent running users' processes that are not niced.",0,0,0,0,0,
17358,0,,,10001,"CPU $2 time","system.cpu.util[,nice]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The time the CPU has spent running users' processes that have been niced.",0,0,0,0,0,
17360,0,,,10001,"CPU $2 time","system.cpu.util[,system]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The time the CPU has spent running the kernel and its processes.",0,0,0,0,0,
17362,0,,,10001,"CPU $2 time","system.cpu.util[,iowait]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"Amount of time the CPU has been waiting for I/O to complete.",0,0,0,0,0,
22181,0,,,10001,"Available memory",vm.memory.size[available],60,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"Available memory is defined as free+cached+buffers memory.",0,0,0,0,0,
22183,5,,,10047,"Zabbix $2 write cache, % free","zabbix[wcache,history,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22185,5,,,10047,"Zabbix $2 write cache, % free","zabbix[wcache,trend,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22187,5,,,10047,"Values processed by Zabbix server per second","zabbix[wcache,values]",60,7,365,0,0,,,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22189,5,,,10047,"Zabbix configuration cache, % free","zabbix[rcache,buffer,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22191,5,,,10047,"Zabbix value cache, % free","zabbix[vcache,buffer,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22196,5,,,10047,"Zabbix value cache hits","zabbix[vcache,cache,hits]",60,7,365,0,0,,vps,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22199,5,,,10047,"Zabbix value cache misses","zabbix[vcache,cache,misses]",60,7,365,0,0,,vps,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22219,5,,,10047,"Zabbix queue over $2","zabbix[queue,10m]",600,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22231,0,,,10050,"Version of agent running",agent.version,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22232,0,,,10050,"Agent ping",agent.ping,60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,10,,,,0,0,,,,,0,0,,NULL,,"The agent always returns 1 for this item. It could be used in combination with nodata() for availability check.",0,0,0,0,0,
22396,5,,,10047,"Zabbix $2 write cache, % free","zabbix[wcache,text,pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22399,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22400,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,unreachable poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22401,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,vmware collector,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22402,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,http poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22404,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,trapper,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22406,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,history syncer,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22408,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,housekeeper,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22410,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,db watchdog,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22412,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,configuration syncer,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22414,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,self-monitoring,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22416,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,ipmi poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22418,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,icmp pinger,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22420,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,proxy poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22422,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,escalator,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22424,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,alerter,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22426,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,timer,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22428,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,node watcher,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22430,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,discoverer,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22444,0,,,10001,"Network interface discovery",net.if.discovery,3600,90,365,0,4,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,1,"{#IFNAME}:@Network interfaces for discovery",NULL,,"Discovery of network interfaces as defined in global regular expression ""Network interfaces for discovery"".",0,30,0,0,0,
22446,0,,,10001,"Incoming network traffic on $1",net.if.in[{#IFNAME}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22448,0,,,10001,"Outgoing network traffic on $1",net.if.out[{#IFNAME}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22450,0,,,10001,"Mounted filesystem discovery",vfs.fs.discovery,3600,90,365,0,4,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,1,"{#FSTYPE}:@File systems for discovery",NULL,,"Discovery of file systems of different types as defined in global regular expression ""File systems for discovery"".",0,30,0,0,0,
22452,0,,,10001,"Free disk space on $1","vfs.fs.size[{#FSNAME},free]",60,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22454,0,,,10001,"Free inodes on $1 (percentage)","vfs.fs.inode[{#FSNAME},pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22456,0,,,10001,"Total disk space on $1","vfs.fs.size[{#FSNAME},total]",3600,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22458,0,,,10001,"Used disk space on $1","vfs.fs.size[{#FSNAME},used]",60,7,365,0,3,,B,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22665,0,,,10001,"CPU $2 time","system.cpu.util[,steal]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).",0,0,0,0,0,
22668,0,,,10001,"CPU $2 time","system.cpu.util[,softirq]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The amount of time the CPU has been servicing software interrupts.",0,0,0,0,0,
22671,0,,,10001,"CPU $2 time","system.cpu.util[,interrupt]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The amount of time the CPU has been servicing hardware interrupts.",0,0,0,0,0,
22674,0,,,10001,"Processor load (5 min average)","system.cpu.load[all,avg5]",60,7,365,0,0,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The processor load is calculated as system CPU load sumed by total number of CPU cores.",0,0,0,0,0,
22677,0,,,10001,"Processor load (15 min average)","system.cpu.load[all,avg15]",60,7,365,0,0,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The processor load is calculated as system CPU load sumed by total number of CPU cores.",0,0,0,0,0,
22680,0,,,10001,"Context switches per second",system.cpu.switches,60,7,365,0,3,,sps,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22683,0,,,10001,"Interrupts per second",system.cpu.intr,60,7,365,0,3,,ips,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22686,0,,,10001,"Free disk space on $1 (percentage)","vfs.fs.size[{#FSNAME},pfree]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22689,5,,,10047,"Zabbix $4 $2 processes, in %","zabbix[process,java poller,avg,busy]",60,7,365,0,0,,%,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,,0,0,0,0,0,
22700,4,{$SNMP_COMMUNITY},IF-MIB::ifDescr,10060,"Network interfaces",ifDescr,3600,90,365,0,4,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,1,:,NULL,,"You may also consider using IF-MIB::ifType or IF-MIB::ifAlias for discovery depending on your filtering needs.

{$SNMP_COMMUNITY} is a global macro.",0,30,0,0,0,
22701,4,{$SNMP_COMMUNITY},IF-MIB::ifInOctets.{#SNMPINDEX},10060,"Incoming traffic on interface $1",ifInOctets[{#SNMPVALUE}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,"The number of octets in valid MAC frames received on this interface, including the MAC header and FCS.",0,0,0,0,0,
22702,4,{$SNMP_COMMUNITY},IF-MIB::ifOutOctets.{#SNMPINDEX},10060,"Outgoing traffic on interface $1",ifOutOctets[{#SNMPVALUE}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,"The number of octets transmitted in MAC frames on this interface, including the MAC header and FCS.",0,0,0,0,0,
22703,4,{$SNMP_COMMUNITY},IF-MIB::ifDescr.{#SNMPINDEX},10060,"Description of interface $1",ifDescr[{#SNMPVALUE}],3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,"A textual string containing information about the interface.  This string should include the name of the manufacturer, the product name and the version of the interface hardware/software.",0,0,0,0,0,
22704,4,{$SNMP_COMMUNITY},IF-MIB::ifOperStatus.{#SNMPINDEX},10060,"Operational status of interface $1",ifOperStatus[{#SNMPVALUE}],60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,8,,,,0,0,,,,,0,2,,NULL,,"The current operational state of the interface.",0,0,0,0,0,
22705,4,{$SNMP_COMMUNITY},IF-MIB::ifAdminStatus.{#SNMPINDEX},10060,"Admin status of interface $1",ifAdminStatus[{#SNMPVALUE}],60,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,11,,,,0,0,,,,,0,2,,NULL,,"The desired state of the interface.",0,0,0,0,0,
22706,4,{$SNMP_COMMUNITY},IF-MIB::ifInErrors.{#SNMPINDEX},10060,"Inbound errors on interface $1",ifInErrors[{#SNMPVALUE}],60,7,365,0,3,,,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,"For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol.",0,0,0,0,0,
22707,4,{$SNMP_COMMUNITY},IF-MIB::ifOutErrors.{#SNMPINDEX},10060,"Outbound errors on interface $1",ifOutErrors[{#SNMPVALUE}],60,7,365,0,3,,,0,1,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,"For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors.",0,0,0,0,0,
22708,4,{$SNMP_COMMUNITY},IF-MIB::ifAlias.{#SNMPINDEX},10060,"Alias of interface $1",ifAlias[{#SNMPVALUE}],3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22709,4,{$SNMP_COMMUNITY},IF-MIB::ifNumber.0,10060,"Number of network interfaces",ifNumber,3600,7,365,0,3,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The number of network interfaces (regardless of their current state) present on this system.",0,0,0,0,0,
22710,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysDescr.0,10065,"Device description",sysDescr,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"A textual description of the entity.  This value should include the full name and version identification of the system's hardware type, software operating-system, and networking software.",14,0,0,0,0,
22711,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysName.0,10065,"Device name",sysName,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"An administratively-assigned name for this managed node. By convention, this is the node's fully-qualified domain name.  If the name is unknown, the value is the zero-length string.",3,0,0,0,0,
22712,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysLocation.0,10065,"Device location",sysLocation,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The physical location of this node (e.g., `telephone closet, 3rd floor').  If the location is unknown, the value is the zero-length string.",24,0,0,0,0,
22713,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysContact.0,10065,"Device contact details",sysContact,3600,7,365,0,1,,,0,0,,0,,,1,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",23,0,0,0,0,
22714,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysUpTime.0,10065,"Device uptime",sysUpTime,60,7,365,0,3,,uptime,1,0,,0,,,0.01,,0,,NULL,NULL,,,,0,0,,,,,0,0,,NULL,,"The time since the network management portion of the system was last re-initialized.",0,0,0,0,0,
22715,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysContact.0,10066,"Device contact details",sysContact,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22713,NULL,,,,0,0,,,,,0,0,,NULL,,"The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",23,0,0,0,0,
22716,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysDescr.0,10066,"Device description",sysDescr,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22710,NULL,,,,0,0,,,,,0,0,,NULL,,"A textual description of the entity.  This value should include the full name and version identification of the system's hardware type, software operating-system, and networking software.",14,0,0,0,0,
22717,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysLocation.0,10066,"Device location",sysLocation,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22712,NULL,,,,0,0,,,,,0,0,,NULL,,"The physical location of this node (e.g., `telephone closet, 3rd floor').  If the location is unknown, the value is the zero-length string.",24,0,0,0,0,
22718,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysName.0,10066,"Device name",sysName,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22711,NULL,,,,0,0,,,,,0,0,,NULL,,"An administratively-assigned name for this managed node. By convention, this is the node's fully-qualified domain name.  If the name is unknown, the value is the zero-length string.",3,0,0,0,0,
22719,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysUpTime.0,10066,"Device uptime",sysUpTime,60,7,365,0,3,,uptime,1,0,,0,,,0.01,,0,,22714,NULL,,,,0,0,,,,,0,0,,NULL,,"The time since the network management portion of the system was last re-initialized.",0,0,0,0,0,
22720,4,{$SNMP_COMMUNITY},IF-MIB::ifDescr,10066,"Network interfaces",ifDescr,3600,90,365,0,4,,,0,0,,0,,,1,,0,,22700,NULL,,,,0,0,,,,,0,1,:,NULL,,"You may also consider using IF-MIB::ifType or IF-MIB::ifAlias for discovery depending on your filtering needs.

{$SNMP_COMMUNITY} is a global macro.",0,30,0,0,0,
22721,4,{$SNMP_COMMUNITY},IF-MIB::ifAdminStatus.{#SNMPINDEX},10066,"Admin status of interface $1",ifAdminStatus[{#SNMPVALUE}],60,7,365,0,3,,,0,0,,0,,,1,,0,,22705,11,,,,0,0,,,,,0,2,,NULL,,"The desired state of the interface.",0,0,0,0,0,
22722,4,{$SNMP_COMMUNITY},IF-MIB::ifAlias.{#SNMPINDEX},10066,"Alias of interface $1",ifAlias[{#SNMPVALUE}],3600,7,365,0,1,,,0,0,,0,,,1,,0,,22708,NULL,,,,0,0,,,,,0,2,,NULL,,,0,0,0,0,0,
22723,4,{$SNMP_COMMUNITY},IF-MIB::ifDescr.{#SNMPINDEX},10066,"Description of interface $1",ifDescr[{#SNMPVALUE}],3600,7,365,0,1,,,0,0,,0,,,1,,0,,22703,NULL,,,,0,0,,,,,0,2,,NULL,,"A textual string containing information about the interface.  This string should include the name of the manufacturer, the product name and the version of the interface hardware/software.",0,0,0,0,0,
22724,4,{$SNMP_COMMUNITY},IF-MIB::ifInErrors.{#SNMPINDEX},10066,"Inbound errors on interface $1",ifInErrors[{#SNMPVALUE}],60,7,365,0,3,,,0,1,,0,,,1,,0,,22706,NULL,,,,0,0,,,,,0,2,,NULL,,"For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol.",0,0,0,0,0,
22725,4,{$SNMP_COMMUNITY},IF-MIB::ifInOctets.{#SNMPINDEX},10066,"Incoming traffic on interface $1",ifInOctets[{#SNMPVALUE}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,22701,NULL,,,,0,0,,,,,0,2,,NULL,,"The number of octets in valid MAC frames received on this interface, including the MAC header and FCS.",0,0,0,0,0,
22726,4,{$SNMP_COMMUNITY},IF-MIB::ifOperStatus.{#SNMPINDEX},10066,"Operational status of interface $1",ifOperStatus[{#SNMPVALUE}],60,7,365,0,3,,,0,0,,0,,,1,,0,,22704,8,,,,0,0,,,,,0,2,,NULL,,"The current operational state of the interface.",0,0,0,0,0,
22727,4,{$SNMP_COMMUNITY},IF-MIB::ifOutErrors.{#SNMPINDEX},10066,"Outbound errors on interface $1",ifOutErrors[{#SNMPVALUE}],60,7,365,0,3,,,0,1,,0,,,1,,0,,22707,NULL,,,,0,0,,,,,0,2,,NULL,,"For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors.",0,0,0,0,0,
22728,4,{$SNMP_COMMUNITY},IF-MIB::ifOutOctets.{#SNMPINDEX},10066,"Outgoing traffic on interface $1",ifOutOctets[{#SNMPVALUE}],60,7,365,0,3,,bps,1,1,,0,,,8,,0,,22702,NULL,,,,0,0,,,,,0,2,,NULL,,"The number of octets transmitted in MAC frames on this interface, including the MAC header and FCS.",0,0,0,0,0,
22729,4,{$SNMP_COMMUNITY},IF-MIB::ifNumber.0,10066,"Number of network interfaces",ifNumber,3600,7,365,0,3,,,0,0,,0,,,1,,0,,22709,NULL,,,,0,0,,,,,0,0,,NULL,,"The number of network interfaces (regardless of their current state) present on this system.",0,0,0,0,0,
22730,4,{$SNMP_COMMUNITY},SNMPv2-MIB::sysContact.0,10067,"Device contact details",sysContact,3600,7,365,0,1,,,0,0,,0,,,1,,0,,22713,NULL,,,,0,0,,,,,0,0,,NULL,,"The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",23,0,0,0,0,
